idno,cntry,pspwght,polintr,nwspol,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,eduyrs,eisced,isco08,domicil,agea,gndr,hincfel,hinctnta,hhmmb,female,city,age,age_10,hhsize5
1310,PL,1.16778683662415,1,2,2,1,1,1,1,1,1,1,1,7,2,9112,1,68,2,1,1,1,1,1,68,6.8,1
1321,PL,0.937311351299286,1,2,2,1,1,1,1,1,1,1,1,11,3,7000,2,32,2,2,,4,1,1,32,3.2,4
1322,PL,0.91551810503006,1,1,2,1,1,1,1,1,1,1,1,8,2,9333,1,39,2,2,5,3,1,1,39,3.9,3
1323,PL,0.907435178756714,1,1,2,1,1,1,1,1,1,1,1,11,2,6130,4,43,2,1,,4,1,0,43,4.3,4
1325,PL,0.877032220363617,1,2,2,1,1,1,1,1,1,1,1,13,4,3313,3,62,2,2,3,2,1,0,62,6.2,2
1326,PL,1.19877433776855,1,2,1,1,1,1,1,1,1,1,1,12,4,7532,4,38,2,2,5,4,1,0,38,3.8,4
1327,PL,0.801234304904938,1,1,2,1,1,1,1,1,1,1,1,13,4,7523,1,23,1,2,5,3,0,1,23,2.3,3
1329,PL,1.04647886753082,1,2,2,1,1,1,1,1,1,1,1,11,2,5230,3,51,2,2,4,2,1,0,51,5.1,2
1339,PL,1.10832893848419,1,2,2,1,1,1,1,2,1,1,1,18,7,2433,4,39,2,2,10,4,1,0,39,3.9,4
1348,PL,0.865669190883637,1,2,2,2,1,1,1,1,1,1,1,12,4,5221,3,45,2,1,1,1,1,0,45,4.5,1
1374,PL,1.12394857406616,1,2,1,1,1,1,1,1,1,1,1,13,4,3115,1,24,1,2,6,4,0,1,24,2.4,4
1376,PL,1.07137656211853,1,1,2,2,2,2,2,2,2,1,2,15,7,1321,1,28,1,3,10,3,0,1,28,2.8,3
1377,PL,0.838874578475952,1,1,1,1,1,1,1,1,1,1,1,15,4,9629,4,21,2,2,,6,1,0,21,2.1,5
1378,PL,1.14610421657562,1,2,1,1,1,1,1,1,1,1,1,15,6,1346,3,81,2,2,7,2,1,0,81,8.1,2
1388,PL,0.928000926971436,1,2,2,1,1,2,1,1,1,1,1,16,7,2341,3,57,2,1,6,3,1,0,57,5.7,3
1391,PL,1.13605058193207,1,2,2,1,1,1,1,1,1,1,2,14,4,4321,4,28,1,2,8,2,0,0,28,2.8,2
1394,PL,1.09467494487762,2,2,2,1,1,1,2,2,2,2,2,14,4,4321,1,57,2,2,4,3,1,1,57,5.7,3
1395,PL,0.975863635540009,1,2,2,1,1,1,1,1,1,1,1,15,5,5221,3,58,2,2,9,3,1,0,58,5.8,3
1396,PL,1.01398205757141,2,2,2,1,1,1,1,2,1,2,1,15,6,1323,1,35,1,2,9,2,0,1,35,3.5,2
1398,PL,0.948438346385956,1,1,1,1,1,1,1,1,1,1,1,13,2,,4,19,1,2,3,7,0,0,19,1.9,5
1402,PL,0.893650829792023,1,2,1,1,1,1,1,1,1,1,1,7,2,5223,3,68,2,2,4,3,1,0,68,6.8,3
1405,PL,0.917412877082825,1,1,2,1,1,1,1,1,2,2,1,17,6,4311,1,43,2,2,8,3,1,1,43,4.3,3
1407,PL,0.959627151489258,2,2,2,1,1,1,1,1,1,1,1,20,7,2330,3,53,2,2,,2,1,0,53,5.3,2
1417,PL,0.865145206451416,1,1,1,1,1,1,1,2,1,1,1,12,3,7516,3,41,2,2,7,4,1,0,41,4.1,4
1419,PL,1.11521244049072,1,2,2,1,1,1,1,1,1,1,1,11,2,9111,4,46,2,2,7,4,1,0,46,4.6,4
